# Copyright (C) 2018  Intel Corporation. All rights reserved.,,,,,,,,,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,,,,,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,,,,,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,,,,,,,,,
# refer to the applicable agreement for further details.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition,,,,,,,,,,,,,,,,,,,
# File: C:\Users\21fje\Desktop\ELEC374_MINI_SRC\Pinout.csv,,,,,,,,,,,,,,,,,,,
# Generated on: Mon Mar 31 12:11:16 2025,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK_50,Input,PIN_M9,3B,B3B_N0,PIN_M16,,,,,,,,,,,,,,
HEX0[6],Output,PIN_AA22,4A,B4A_N0,PIN_P8,,,,,,,,,,,,,,
HEX0[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y10,,,,,,,,,,,,,,
HEX0[4],Output,PIN_Y22,4A,B4A_N0,PIN_AA7,,,,,,,,,,,,,,
HEX0[3],Output,PIN_W21,4A,B4A_N0,PIN_AA9,,,,,,,,,,,,,,
HEX0[2],Output,PIN_W22,4A,B4A_N0,PIN_V9,,,,,,,,,,,,,,
HEX0[1],Output,PIN_V21,4A,B4A_N0,PIN_T18,,,,,,,,,,,,,,
HEX0[0],Output,PIN_U21,4A,B4A_N0,PIN_P7,,,,,,,,,,,,,,
HEX1[6],Output,PIN_U22,4A,B4A_N0,PIN_U12,,,,,,,,,,,,,,
HEX1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA8,,,,,,,,,,,,,,
HEX1[4],Output,PIN_AB18,4A,B4A_N0,PIN_T9,,,,,,,,,,,,,,
HEX1[3],Output,PIN_AA18,4A,B4A_N0,PIN_U10,,,,,,,,,,,,,,
HEX1[2],Output,PIN_AA19,4A,B4A_N0,PIN_N8,,,,,,,,,,,,,,
HEX1[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB7,,,,,,,,,,,,,,
HEX1[0],Output,PIN_AA20,4A,B4A_N0,PIN_AB8,,,,,,,,,,,,,,
KEY[1],Input,PIN_W9,3A,B3A_N0,PIN_W9,2.5 V,,,,,,,,,,,,,
KEY[0],Input,PIN_U7,3A,B3A_N0,PIN_U7,2.5 V,,,,,,,,,,,,,
LEDR5,Output,PIN_N1,2A,B2A_N0,PIN_N19,,,,,,,,,,,,,,
SW[7],Input,PIN_AA13,4A,B4A_N0,PIN_AA13,2.5 V,,,,,,,,,,,,,
SW[6],Input,PIN_AA14,4A,B4A_N0,PIN_AA14,2.5 V,,,,,,,,,,,,,
SW[5],Input,PIN_AB15,4A,B4A_N0,PIN_AB15,2.5 V,,,,,,,,,,,,,
SW[4],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,2.5 V,,,,,,,,,,,,,
SW[3],Input,PIN_T12,4A,B4A_N0,PIN_T12,2.5 V,,,,,,,,,,,,,
SW[2],Input,PIN_T13,4A,B4A_N0,PIN_T13,2.5 V,,,,,,,,,,,,,
SW[1],Input,PIN_V13,4A,B4A_N0,PIN_V13,2.5 V,,,,,,,,,,,,,
SW[0],Input,PIN_U13,4A,B4A_N0,PIN_U13,2.5 V,,,,,,,,,,,,,
